country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","14-04-2025 13:00:00",28.570173,76.933762,NO2,39,126,80
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","14-04-2025 13:00:00",28.656756,77.227234,NH3,NA,NA,NA
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","14-04-2025 13:00:00",28.498571,77.264840,SO2,27,53,33
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-04-2025 13:00:00",28.5710274,77.0719006,PM10,117,296,189
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-04-2025 13:00:00",28.5710274,77.0719006,NH3,12,18,14
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ","14-04-2025 13:00:00",28.5710274,77.0719006,CO,34,110,69
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-04-2025 13:00:00",28.6811736,77.3025234,NH3,11,12,11
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-04-2025 13:00:00",28.6811736,77.3025234,SO2,9,26,13
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB","14-04-2025 13:00:00",28.6811736,77.3025234,CO,10,108,80
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2025 13:00:00",28.628624,77.241060,NO2,1,171,70
India,Delhi,Delhi,"ITO, Delhi - CPCB","14-04-2025 13:00:00",28.628624,77.241060,CO,38,119,61
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-04-2025 13:00:00",28.732820,77.170633,SO2,22,56,34
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","14-04-2025 13:00:00",28.732820,77.170633,OZONE,1,199,190
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","14-04-2025 13:00:00",28.5918245,77.2273074,PM2.5,61,224,120
India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC","14-04-2025 13:00:00",28.674045,77.131023,PM2.5,75,308,182
India,Delhi,Delhi,"Pusa, Delhi - DPCC","14-04-2025 13:00:00",28.639652,77.146275,PM2.5,60,230,97
India,Delhi,Delhi,"Pusa, Delhi - IMD","14-04-2025 13:00:00",28.636110,77.173332,PM2.5,38,277,118
India,Delhi,Delhi,"R K Puram, Delhi - DPCC","14-04-2025 13:00:00",28.563262,77.186937,NO2,19,156,76
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","14-04-2025 13:00:00",28.567890,77.250515,PM10,89,290,185
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","14-04-2025 13:00:00",28.530785,77.271255,NH3,9,14,10
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","14-04-2025 13:00:00",28.530785,77.271255,SO2,10,25,15
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","14-04-2025 13:00:00",28.623763,77.287209,PM2.5,67,303,158
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","14-04-2025 13:00:00",28.710508,77.249485,NH3,6,11,8
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","14-04-2025 13:00:00",28.531346,77.190156,PM2.5,58,287,145
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","14-04-2025 13:00:00",28.531346,77.190156,PM10,100,186,141
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","14-04-2025 13:00:00",28.531346,77.190156,NO2,15,100,49
India,Delhi,Delhi,"Rohini, Delhi - DPCC","14-04-2025 13:00:00",28.732528,77.119920,NO2,10,143,79
India,Delhi,Delhi,"Rohini, Delhi - DPCC","14-04-2025 13:00:00",28.732528,77.119920,CO,14,114,50
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","14-04-2025 13:00:00",28.710508,77.249485,PM2.5,35,237,120
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","14-04-2025 13:00:00",28.672342,77.315260,CO,32,111,46
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","14-04-2025 13:00:00",28.699793,77.165453,PM10,123,398,222
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","14-04-2025 13:00:00",28.5918245,77.2273074,CO,31,84,55
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","14-04-2025 13:00:00",23.020509,72.579261,NO2,NA,NA,NA
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","14-04-2025 13:00:00",23.020509,72.579261,NH3,NA,NA,NA
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2025 13:00:00",23.016834,72.625775,PM10,32,154,73
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2025 13:00:00",23.016834,72.625775,SO2,15,109,34
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","14-04-2025 13:00:00",23.016834,72.625775,CO,32,88,37
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","14-04-2025 13:00:00",23.023389,72.515201,OZONE,38,70,53
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","14-04-2025 13:00:00",23.043070,72.562968,PM2.5,45,118,65
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","14-04-2025 13:00:00",23.043070,72.562968,OZONE,8,82,45
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","14-04-2025 13:00:00",12.951913,77.539784,NH3,1,2,1
